hospital_name,node_name,latitude,longitude
Rumah Sakit Bunda,13,-7.274966798011002,112.72659812706063
Rumah Sakit Bunda,14,-7.2747490467916895,112.72606428807855
Rumah Sakit Bunda,15,-7.273837806380136,112.72503720403537
Rumah Sakit Bunda,16,-7.272046960430397,112.7236911497702
Rumah Sakit Bunda,17,-7.2705661848832825,112.72186026078475
Rumah Sakit Bunda,18,-7.270294076027061,112.71993368074753
Rumah Sakit Bunda,19,-7.2682269827166675,112.7136593735663
Rumah Sakit Bunda,20,-7.266932599352387,112.70801506760543
Rumah Sakit Bunda,21,-7.266119845113534,112.70702883136711
Rumah Sakit Bunda,22,-7.267306461777536,112.7024953536514
Rumah Sakit Bunda,23,-7.2664184531810685,112.70091737567007
Rumah Sakit Bunda,24,-7.264561210726799,112.6970355281194
Rumah Sakit Bunda,25,-7.2618516099441415,112.69363955334337
Rumah Sakit Bunda,26,-7.261001409104566,112.69292682799208
Rumah Sakit Bunda,27,-7.260105416515036,112.68934983157187
Rumah Sakit Bunda,28,-7.257809649410535,112.67176525979055
Rumah Sakit Bunda,29,-7.251972850309799,112.65047509946783
Rumah Sakit Bunda,Rumah Sakit Bunda,-7.251727431164775,112.65046287604127
RS Bhakti Dharma Husada,Klinik Unesa,-7.3112852394190355,112.72943040972358
RS Bhakti Dharma Husada,1,-7.310074145443754,112.7298720296243
RS Bhakti Dharma Husada,2,-7.307608964349635,112.72403254191602
RS Bhakti Dharma Husada,3,-7.308758141122321,112.72210647822573
RS Bhakti Dharma Husada,4,-7.309056107619053,112.71970321898941
RS Bhakti Dharma Husada,5,-7.307225738857061,112.71955301528713
RS Bhakti Dharma Husada,6,-7.30749521919908,112.71609470968575
RS Bhakti Dharma Husada,7,-7.307351556303898,112.71347687373189
RS Bhakti Dharma Husada,8,-7.309117283535048,112.71149203297983
RS Bhakti Dharma Husada,9,-7.312821660468362,112.70959703665622
RS Bhakti Dharma Husada,10,-7.313730421153066,112.69295675500412
RS Bhakti Dharma Husada,11,-7.311497829225254,112.68775121165122
RS Bhakti Dharma Husada,12,-7.308890480737676,112.67402264305439
RS Bhakti Dharma Husada,13,-7.303917570634469,112.67434289627262
RS Bhakti Dharma Husada,14,-7.3012339287006895,112.67569016849605
RS Bhakti Dharma Husada,15,-7.300478124614919,112.67559630117074
RS Bhakti Dharma Husada,16,-7.298882436701148,112.67562689440304
